id,code,path,name,uri_root,model_name,key_name_bid,key_name_page,uri_is_fixed,uri_link,uri_title,uri_date,uri_author,uri_reference,uri_inside_date,notice_drop_num
1,main,/notice/main,강원대-메인공지,https://www.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=37,Main,nttNo,pageIndex,"//*[@id=""board""]/table/tbody/tr/td[1]/strong","//*[@id=""board""]/table/tbody/tr/td[3]/a","//*[@id=""board""]/table/tbody/tr/td[3]/a//text()","//*[@id=""board""]/table/tbody/tr/td[6]//text()","//*[@id=""board""]/table/tbody/tr/td[4]//text()","//*[@id=""board""]/table/tbody/tr/td[2]//text()",null,0
2,cse,/notice/cse,컴퓨터공학과,https://cse.kangwon.ac.kr/index.php?mt=page&mp=5_1_1,Cse,BID,cpage,"//*[@id=""bbsWrap""]/table/tbody/tr/td[1]/img","//*[@id=""bbsWrap""]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/table/tbody/tr/td[2]/a//text()","//*[@id=""bbsWrap""]/table/tbody/tr/td[4]//text()","//*[@id=""bbsWrap""]/table/tbody/tr/td[3]//text()",null,null,0
3,cba,/notice/cba,경영대학,https://cba.kangwon.ac.kr/cba/community/notice.do?articleLimit=20&article.offset=%d,Cba,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
4,biz,/notice/biz,경영학과,https://biz.kangwon.ac.kr/biz/community/notice.do?articleLimit=20&article.offset=%d,Biz,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
5,account,/notice/account,회계학과,https://account.kangwon.ac.kr/account/community/notice.do?mode=list&articleLimit=20&article.offset=%d,Account,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
6,economics,/notice/economics,경제학과,https://economics.kangwon.ac.kr/economics/community/notice.do?articleLimit=20&article.offset=%d,Economics,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
7,statistics,/notice/statistics,정보통계학과,https://statistics.kangwon.ac.kr/statistics/community/notice.do?articleLimit=20&article.offset=%d,Statistics,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
8,tourism,/notice/tourism,관광경영학과,https://tourism.kangwon.ac.kr/tourism/community/notice.do?articleLimit=20&article.offset=%d,Tourism,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
9,itb,/notice/itb,국제무역학과,https://itb.kangwon.ac.kr/trade/community/notice.do?articleLimit=20&article.offset=%d,Itb,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
10,knucals,/notice/knucals,농업생명과학대학,https://knucals.kangwon.ac.kr/knucals/community/notice.do?articleLimit=20&article.offset=%d,Knucals,articleNo,offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
